"lang" 
{ 
"Language" "English" 
"Hint_Cannot_Attack_While_Feign_Armed"	"You cannot attack while feign death is armed."
"Hint_Cannot_Arm_Feign_Now"		"You need a full cloak meter to arm feign death."

"Hint_ClassMenu"					"Press '%changeclass%' to change your player class."

// Altfires
"Hint_altfire_sniperrifle"			"You can hit '%attack2%' to zoom with your sniper rifle."
"Hint_altfire_grenadelauncher"		"You can hit '%attack2%' to detonate stickybombs even while using your grenade launcher."
"Hint_altfire_pipebomblauncher"		"You can hit '%attack2%' to detonate stickybombs launched with your stickybomb launcher."
"Hint_altfire_rotate_building"		"You can hit '%attack2%' to rotate buildings before you place them."

// Soldier specific
"Hint_Soldier_rpg_reload"			"Hit '%reload%' to reload your rocket launcher.\nReload it whenever you're out of combat!"

// Engineer specific
"Hint_Engineer_use_wrench_onown"	"Hit constructing objects with your wrench\nto make them build faster!"
"Hint_Engineer_use_wrench_onother"	"Hit your teammate's constructing objects with your wrench\nto help them build faster!"
"Hint_Engineer_build_sentrygun"		"Build sentry guns to defend your team's base.\nThe fourth slot in your weapon selection holds buildables."
"Hint_Engineer_build_dispenser"		"Build Dispensers to help your teammates to resupply.\nThe fourth slot in your weapon selection holds buildables."
"Hint_Engineer_build_teleporters"	"Build Teleporters to help your team defend forward areas.\nThe fourth slot in your weapon selection holds buildables."
"Hint_Engineer_pickup_metal"		"Pick up metal from fallen weapons\nto use in building objects!"
"Hint_Engineer_repair_object"		"Hit damaged objects with your wrench to repair them!"
"Hint_Engineer_metal_to_upgrade"	"You need more metal to upgrade your sentry gun!"
"Hint_Engineer_upgrade_sentrygun"	"Upgrade sentry guns by hitting them with your wrench.\nThey can be upgraded all the way to level 3!"
"Hint_object_has_sapper"		"This building is being destroyed by a sapper!\n Shoot the sapper to destroy it!"

"Hint_object_your_object_sapped"	"One of your buildings is being destroyed!"	
"Hint_enemy_using_dispenser"		"An enemy is using your dispenser!"
"Hint_enemy_using_tp_entrance"		"An enemy is near your teleporter entrance!"
"Hint_enemy_using_tp_exit"			"An enemy is near your teleporter exit!"

"WinPanel_Red_Team_Wins"			"RED Team Wins"
"WinPanel_Blue_Team_Wins"			"BLU Team Wins"
"WinPanel_Stalemate"				"STALEMATE!"

"StatPanel_Title_Dead"				"On the bright side..."
"StatPanel_Title_Alive"				"Well, that was impressive! Last round:"

"StatPanel_Format_Close"			"That round: %s1  Your best: %s2"

"StatPanel_Kills_Best"				"You had more kills as %s1 that round than your previous best."
"StatPanel_Captures_Best"			"You had more captures as %s1 that round than your previous best."
"StatPanel_Defenses_Best"			"You defended more points as %s1 that round than your previous best."
"StatPanel_DamageDealt_Best"			"You've caused more damage as %s1 than your previous best."
"StatPanel_PlayTime_Best"			"You stayed alive as %s1 longer that round than your previous best."
"StatPanel_Healing_Best"			"You healed more as %s1 that round than your previous best."
"StatPanel_Invulnerable_Best"			"You went invulnerable more that round than your previous best."
"StatPanel_KillAssists_Best"			"You had more kill assists that round as %s1 than your previous best."
"StatPanel_Backstabs_Best"			"You had more backstabs that round than your previous best."
"StatPanel_HealthLeached_Best"			"You stole more health from enemy Medics and dispensers that round than your previous best."
"StatPanel_BuildingsBuilt_Best"			"You built more buildings that round than your previous best."
"StatPanel_BuildingsDestroyed_Best"		"You destroyed more buildings that round as %s1 than your previous best."
"StatPanel_Headshots_Best"			"You had more headshots that round than your previous best."
"StatPanel_SentryKills_Best"			"Your sentry gun had more kills that round than your previous best."
"StatPanel_Teleports_Best"			"Your teleporter was used more that round than your previous best."
"StatPanel_Dominations_Best"			"You dominated more new opponents that round as %s1 than your previous best."
"StatPanel_Revenge_Best"			"You got revenge on more opponents that round as %s1 than your previous best."
"StatPanel_PointsScored_Best"			"You scored more points that round as %s1 than your previous best."

"StatPanel_Kills_Tie"				"You tied your record for kills as %s1 that round."
"StatPanel_Captures_Tie"			"You tied your record for captures as %s1 that round."
"StatPanel_Defenses_Tie"			"You tied your record for defenses as %s1 that round."
"StatPanel_DamageDealt_Tie"			"You tied your record for damage dealt as %s1 that round."
"StatPanel_PlayTime_Tie"			"You tied your record for time alive as %s1 that round."
"StatPanel_Healing_Tie"				"You tied your record for healing as %s1 that round."
"StatPanel_Invulnerable_Tie"			"You tied your record for invulns that round."
"StatPanel_KillAssists_Tie"			"You tied your record for kill assists as %s1 that round."
"StatPanel_Backstabs_Tie"			"You tied your record for backstabs that round."
"StatPanel_HealthLeached_Tie"			"You tied your record for health stolen from the enemy that round."
"StatPanel_BuildingsBuilt_Tie"			"You tied your record for buildings built that round."
"StatPanel_BuildingsDestroyed_Tie"		"You tied your record for buildings destroyed as %s1 that round."
"StatPanel_Headshots_Tie"			"You tied your record for headshots that round."
"StatPanel_SentryKills_Tie"			"You tied your record for kills by your sentry gun that round."
"StatPanel_Teleports_Tie"			"You tied your record for teleports that round."
"StatPanel_Dominations_Tie"			"You tied your record for opponents dominated as %s1 that round."
"StatPanel_Revenge_Tie"				"You tied your record for revenge as %s1 that round."
"StatPanel_PointsScored_Tie"			"You tied your record for points scored as %s1 that round."

"StatPanel_Kills_Close"				"You came close to your record for kills as %s1 that round."
"StatPanel_Captures_Close"			"You came close to your record for captures as %s1 that round."
"StatPanel_Defenses_Close"			"You came close to your record for defenses as %s1 that round."
"StatPanel_DamageDealt_Close"			"You came close to your record for damage dealt as %s1 that round."
"StatPanel_PlayTime_Close"			"You came close to your record for time alive as %s1 that round."
"StatPanel_Healing_Close"			"You came close to your record for healing as %s1 that round."
"StatPanel_Invulnerable_Close"			"You came close to your record for invulns that round."
"StatPanel_KillAssists_Close"			"You came close to your record for kill assists as %s1 that round."
"StatPanel_Backstabs_Close"			"You came close to your record for backstabs that round."
"StatPanel_HealthLeached_Close"			"You came close to your record for health stolen from the enemy that round."
"StatPanel_BuildingsBuilt_Close"		"You came close to your record for buildings built that round."
"StatPanel_BuildingsDestroyed_Close"		"You came close to your record for buildings destroyed as %s1 that round."
"StatPanel_Headshots_Close"			"You came close to your record for headshots that round."
"StatPanel_SentryKills_Close"			"You came close to your record for kills by your sentry gun that round."
"StatPanel_Teleports_Close"			"You came close to your record for teleports that round."
"StatPanel_Dominations_Close"			"You came close to your record for opponents dominated as %s1 that round."
"StatPanel_Revenge_Close"			"You came close to your record for revenge as %s1 that round."
"StatPanel_PointsScored_Close"			"You came close to your record for points scored as %s1 that round."


"StatPanel_Label_Kills"				"# Kills: "
"StatPanel_Label_DamageDealt"		"Damage dealt: "
"StatPanel_Label_PlayTime"			"Play time: "
"StatPanel_Label_Healing"			"Health points healed: "
"StatPanel_Label_Invulnerable"		"Invulnerable activated: "
"StatPanel_Label_Backstabs"			"# Backstabs: "
"StatPanel_Label_HealthLeached"		"Health leached: "
"StatPanel_Label_Buildings_Built"	"# Buildings built: "
"StatPanel_Label_SentryKills"		"# Kills by sentry: "
"StatPanel_Label_Teleports"			"# uses of teleport: "

"StatSummary_Label_PerformanceReport"	"YOUR PERFORMANCE REPORT"
"StatSummary_Label_BestMoments"		"YOUR BEST MOMENTS"
"StatSummary_Label_AsAnyClass"		"As any class:"
"StatSummary_Label_TIP"			"TIP"
"StatSummary_ScoreAsClassFmt"		"%s1 (as %s2)"
"StatSummary_Records"				"RECORDS:"
"StatSummary_StatTitle_MostPoints"	"Most points"
"StatSummary_StatTitle_AvgPoints"	"Avg points"
"StatSummary_StatTitle_MostKills"	"Most kills"
"StatSummary_StatTitle_AvgKills"	"Avg kills"
"StatSummary_StatTitle_MostCaptures"	"Most captures"
"StatSummary_StatTitle_AvgCaptures"	"Avg captures"
"StatSummary_StatTitle_MostAssists"	"Most assists"
"StatSummary_StatTitle_AvgAssists"	"Avg assists"
"StatSummary_StatTitle_MostDamage"	"Most damage"
"StatSummary_StatTitle_AvgDamage"	"Avg damage"
"StatSummary_StatTitle_TotalPlaytime"	"Total playtime"
"StatSummary_StatTitle_LongestLife"	"Longest life"

"Tip_Fmt"				"Tip: %s1"

"Tip_1_Count"				"16"
"Tip_1_1"				"As a Scout, jump again in mid-air to change direction, and avoid enemy fire."
"Tip_1_2"				"As a Scout, you capture control points twice as fast as other classes."
"Tip_1_3"				"As a Scout, you're most effective when you stay moving and use your speed to your advantage."
"Tip_1_4"				"As a Scout, your scattergun is lethal at point blank range."
"Tip_1_5"				"As a Scout, your pistol is great for picking off enemies at a distance."
"Tip_1_6"				"As a Scout, your scattergun can kill most classes with two hits."
"Tip_1_7"				"As a Scout, you can use the Force-A-Nature to give yourself an extra boost up while jumping."
"Tip_1_8"				"As a Scout, you are most dangerous when you attack from the side or behind. Use alternate routes to flank the enemy."
"Tip_1_9"				"As a Scout, use your Sandman's alt-fire to stun an enemy."
"Tip_1_10"				"As a Scout, your bat provides 15 extra health compared to the Sandman. Use your bat if survival is a top priority."
"Tip_1_11"				"As a Scout, the Force-A-Nature causes enemies at close range to be knocked back."
"Tip_1_12"				"As a Scout, the Sandman's stun ball will stun longer the further it flies."
"Tip_1_13"				"As a Scout, the Sandman's stun ball will render the target immobile if hit at maximum range."
"Tip_1_14"				"As a Scout, remember that the Sandman's stun ball doesn't stun at close range but still does slight damage to the target."
"Tip_1_15"				"As a Scout, use the Bonk! Energy Drink to distract a sentry and allow other teammates to destroy it."
"Tip_1_16"				"As a Scout, use the Bonk! Energy Drink to avoid sentries and other damage."

"Tip_2_Count"				"13"
"Tip_2_1"				"As a Sniper, the longer you spend zoomed in the scope, the more damage the shot will do."
"Tip_2_2"				"As a Sniper, aim for the head to do critical damage."
"Tip_2_3"				"As a Sniper, zoom with the sniper rifle by hitting %attack2%."
"Tip_2_4"				"As a Sniper, use your secondary submachine gun to deal with nearby enemies."
"Tip_2_5"				"As a Sniper, a fully charged sniper rifle head shot can kill most classes instantly."
"Tip_2_6"				"As a Sniper, use your secondary submachine gun to deal with nearby enemies."
"Tip_2_7"				"As a Sniper, your shot will miss if the Huntsman is pulled back longer than 5 seconds. Reset it by hitting %attack2%."
"Tip_2_8"				"As a Sniper, Jarate can reveal hidden Spies. Be wary, as Spies using the Dead Ringer won't be visible if they cloak after being soaked."
"Tip_2_9"				"As a Sniper, the Razorback breaks after being stabbed. Grab a new one from a resupply locker."
"Tip_2_10"				"As a Sniper, your Razorback emits a loud electric sound when a Spy attempts to backstab you. Listen for it!"
"Tip_2_11"				"As a Sniper, use Jarate to douse flames on yourself and on teammates."
"Tip_2_12"				"As a Sniper, all hits on enemies who have been doused with Jarate are minicrits."
"Tip_2_13"				"As a Sniper, the Tribalman's Shiv causes a bleed on hit.  This can be useful for tracking down Spies."

"Tip_3_Count"				"17"
"Tip_3_1"				"As a Soldier, you can rocket jump to great heights by simultaneously jumping and firing a rocket at the ground."
"Tip_3_2"				"As a Soldier, aim rockets at enemies feet to ensure they can't avoid the explosion damage."
"Tip_3_3"				"As a Soldier, make sure you keep your rocket launcher loaded. Hit %reload% to reload it at any time."
"Tip_3_4"				"Hit %voicemenu 0 0% to call for a Medic if you get hurt. Nearby Medics will be notified of your need."
"Tip_3_5"				"Damaging yourself during Setup time does not increase your Medic's ÜberCharge rate."
"Tip_3_6"				"As a Soldier, a crouch-jump will increase your rocket jump height!"
"Tip_3_7"				"As a Soldier, switch to shotgun for enemies at extremely close range to avoid damaging yourself."
"Tip_3_8"				"As a Soldier, if you're paired with a Medic take advantage of safe opportunities to damage yourself to build ÜberCharge faster!"
"Tip_3_9"				"As a Soldier, you can use your rockets to pop enemies into the air."
"Tip_3_10"				"As a Soldier, your shotgun can be useful in combat if you need to reload your rocket launcher."
"Tip_3_11"				"As a Soldier, angle your rockets slightly behind you to propel yourself forward faster!"
"Tip_3_12"				"As a Soldier, the Direct Hit rockets have a very small blast radius.  Aim directly at your enemies to maximize damage."
"Tip_3_13"				"As a Soldier, the Buff Banner's rage meter will reset if you die. Don't be afraid to use it for yourself to make a push or escape!"
"Tip_3_14"				"As a Soldier, the Buff Banner, once charged and then activated, provides mini-crits for you and all teammates nearby."
"Tip_3_15"				"As a Soldier, the Equalizer's speed bonus when at low health can also be used to quickly escape."
"Tip_3_16"				"As a Soldier, the Equalizer does a lot of damage when you are at very low health."
"Tip_3_17"				"As a Soldier, Medics cannot heal you or activate ÜberCharge on you if you have the Equalizer out."

"Tip_4_Count"				"18"
"Tip_4_1"				"As a Demoman, hit %attack% to fire sticky bombs and then use %attack2% to detonate them later."
"Tip_4_2"				"As a Demoman, the longer you hold down the fire button, the farther the shot will go."
"Tip_4_3"				"As a Demoman, set off sticky bombs beneath your feet to pipe bomb jump up to great heights."
"Tip_4_4"				"As a Demoman, shoot sticky bombs onto walls and ceilings where they're hard to spot."
"Tip_4_5"				"As a Demoman, detonate sticky bombs at any time regardless of which weapon you're currently using."
"Tip_4_6"				"As a Demoman, crouch in the air when jumping for a sticky bomb jump to achieve maximum height."
"Tip_4_7"				"As a Demoman, sticky bomb jump at an angle to propel yourself in a certain direction rather than just up."
"Tip_4_8"				"As a Demoman, use your grenade launcher for direct combat. Grenades detonate upon impact with an enemy unless they touch the ground first."
"Tip_4_9"				"As a Demoman, your bottle does the same amount of damage whether it is smashed open or not."
"Tip_4_10"				"Sticky bombs can be destroyed by shooting at them with any weapon that uses bullets. Explosions won't destroy them, but will knock them out of the way."
"Tip_4_11"				"As a Demoman, the Scottish Resistance is great for defense.  Place multiple sticky bomb groups to defend a lot of territory.  Your sticky bombs also destroy enemy sticky bombs!"
"Tip_4_12"				"As a Demoman with the Scottish Resistance, keep a line of sight to your sticky bombs so you can detonate them when needed."
"Tip_4_13"				"As a Demoman, the Chargin' Targe's explosive and fire damage resistance in addition to its charge ability compliment the Eyelander's lower max health and inability to cause random critical hits."
"Tip_4_14"				"As a Demoman, the Chargin' Targe's charge ability doesn't grant a critical hit until near the end of the charge.  Your weapon will glow when the time is right!"
"Tip_4_15"				"As a Demoman with the Chargin' Targe, you can't change direction during a charge. Try to line charges up with where an enemy will be rather than where an enemy is."
"Tip_4_16"				"As a Demoman, the Chargin' Targe's charge ability is also perfect for quick getaways!"
"Tip_4_17"				"As a Demoman, your Bottle has no negative attributes compared to the minus 25 health on the Eyelander.  Use your Bottle if survival is a priority."
"Tip_4_18"				"As a Demoman, collect heads by killing enemies with the Eyelander.  Each head increases your maximum health as well as gives you a speed boost!"

"Tip_5_Count"				"22"
"Tip_5_1"				"As a Medic, use your medigun to heal teammates, and buff them up to 150%% of their normal health."
"Tip_5_2"				"As a Medic, fill your ÜberCharge by healing teammates. Then hit %attack2% to go invulnerable."
"Tip_5_3"				"As a Medic, your ÜberCharge makes both you and your medigun target invulnerable for a short time."
"Tip_5_4"				"As a Medic, you fill your ÜberCharge faster by healing teammates who are more hurt."
"Tip_5_5"				"As a Medic, keep alert for teammates calling for your help. Use the Medic arrows onscreen to find them."
"Tip_5_6"				"As a Medic, you build ÜberCharge at the maximum rate during setup time."
"Tip_5_7"				"As a Medic, you cannot capture a Control Point while invulnerable."
"Tip_5_8"				"As a Medic, heal Soldiers and Demomen at the beginning of rounds so they can use the extra health to rocket or sticky jump across the map."
"Tip_5_9"				"As a Medic, you can ÜberCharge without a heal target to save yourself in dire situations."
"Tip_5_10"				"As a Medic, it's better to use an ÜberCharge too early than lose it by being killed."
"Tip_5_11"				"As a Medic, mess with the enemy by using the \"ÜberCharge ready!\" voice command to pretend you have an ÜberCharge prepared."
"Tip_5_12"				"As a Medic, you can keep multiple targets overhealed allowing them to absorb more damage."
"Tip_5_13"				"As a Medic, your bonesaw swings 20%% faster than the Übersaw. Use the bonesaw in defensive situations where ÜberCharge isn't as important."
"Tip_5_14"				"As a Medic, remember that syringes travel in arcs. Aim higher than your intended target to land successful hits."
"Tip_5_15"				"As a Medic, remember that critical hits have no effect on sentry guns. Use the Kritzkrieg in areas full of players instead."
"Tip_5_16"				"As a Medic, the Übersaw will still gain you ÜberCharge if the enemy being hit is a Scout phasing with Bonk! Atomic Punch."
"Tip_5_17"				"As a Medic, using ÜberCharge to be invulnerable to damage does not mean you are free from harm. Watch out for Pyro air blasts and explosive knock back."
"Tip_5_18"				"As a Medic, when attacking with an ÜberCharge try to get as close to sentries as possible so your teammates can get close enough to destroy them."
"Tip_5_19"				"As a Medic, your default syringe gun automatically heals you over time by 3 health per second compared to the Blutsauger's 1 health per second."
"Tip_5_20"				"As a Medic, the Ubersaw will not gain you ÜberCharge if the enemy being hit is a disguised Spy."
"Tip_5_21"				"As a Medic, the Kritzkrieg's taunt heals 10 health. Use it when there are no health kits or other Medics nearby."
"Tip_5_22"				"As a Medic, pay attention to other Medics on your team. Keeping multiple Medics alive will help keep the rest of the team alive too."

"Tip_6_Count"				"13"
"Tip_6_1"				"As a Heavy, hold %attack2% to keep your minigun spinning, ready for approaching enemies."
"Tip_6_2"				"As a Heavy, you're a great Medic buddy. Keep a clear line of sight to your Medic to keep the Medigun on you."
"Tip_6_3"				"Hit %voicemenu 0 0% to call for a Medic if you get hurt. Nearby Medics will be notified of your need."
"Tip_6_4"				"As a Heavy, your minigun chews up a lot of ammo. Pick up fallen weapons to refill your supply."
"Tip_6_5"				"As a Heavy, your Sandvich can be a life saver. Try to find a safe place before eating your Sandvich or you may be rudely interrupted."
"Tip_6_6"				"As a Heavy, you have the most health on your team."
"Tip_6_7"				"As a Heavy, you don't lose momentum while spinning up your minigun in the air. Use this to surprise enemies around corners."
"Tip_6_8"				"As a Heavy, use your Sandvich to heal up!  Use %attack2% to throw it on the ground for friendly players to pick up as health.  Don't worry, it comes with a plate to keep it clean."
"Tip_6_9"				"As a Heavy, your fists swing 20%% faster than the Killing Gloves of Boxing. Equip them with the Sandvich to quickly dispatch lunchtime attackers."
"Tip_6_10"				"As a Heavy, the Sandvich can be dropped by hitting %attack2%. A dropped Sandvich can heal a teammate 50%% of their maximum health."
"Tip_6_11"				"As a Heavy, be sure to get another Sandvich if you drop yours. Sandviches can be replenished from health kits, but only if your current health is full."
"Tip_6_12"				"As a Heavy, your minigun's spin-up can waste the Killing Gloves of Boxing's 5-second critical buff. Carry your shotgun with the K.G.B. to maximize the critical boost!"
"Tip_6_13"				"As a Heavy, the Sandvich can be dropped by hitting %attack2% and can extinguish burning teammates. Use this to save your Medic."

"Tip_7_Count"				"21"
"Tip_7_1"				"As a Pyro, your flamethrower does more damage the closer you are to the enemy."
"Tip_7_2"				"As a Pyro, ambush enemies to catch them in the short range of your flamethrower. Use corners to your advantage."
"Tip_7_3"				"As a Pyro, your flamethrower chews up a lot of ammo. Pick up fallen weapons to refill your supply."
"Tip_7_4"				"As a Pyro, switch to your shotgun if enemies retreat beyond the short range of your flamethrower."
"Tip_7_5"				"As a Pyro, you can often set enemies on fire and retreat, leaving them to die from the burning."
"Tip_7_6"				"Hit %voicemenu 0 0% to call for a Medic if you get hurt. Nearby Medics will be notified of your need."
"Tip_7_7"				"As a Pyro, your flame thrower can ignite enemy Spies disguised as your team.  Spy check teammates that act suspicious!"
"Tip_7_8"				"As a Pyro, utilize the bonus damage on the Axtinguisher by igniting your foes."
"Tip_7_9"				"As a Pyro, help protect an Engineer's sentries by pushing away sticky bombs and checking for Spies."
"Tip_7_10"				"As a Pyro, you can neutralize an ÜberCharge by pushing the Medic or his heal target out of range of each other using the Flame Thrower's compression blast with %attack2%!"
"Tip_7_11"				"As a Pyro, push enemies out of your way using the flame thrower's compression blast with %attack2%."
"Tip_7_12"				"As a Pyro, the flame thrower's compression blast %attack2% can extinguish burning teammates."
"Tip_7_13"				"As a Pyro, you do not ignite from fire.  Use your shotgun or fire axe against enemy Pyros to counter this."
"Tip_7_14"				"As a Pyro, the Backburner is more useful for ambushing the enemy as it gets bonus damage when attacking from behind!"
"Tip_7_15"				"As a Pyro, the Flare Gun can do mini-crits if fired at enemies who are already burning if hit at medium to long range."
"Tip_7_16"				"As a Pyro, your flame thrower or Flare Gun will not work underwater."
"Tip_7_17"				"As a Pyro, hit %attack2% with your default flame thrower to let out a blast of compressed air. Use it to reflect incoming projectiles, put out burning teammates, and push enemies back!"
"Tip_7_18"				"As a Pyro, use your flame thrower on friendly Snipers to light their Huntsman arrows on fire. Flaming arrows can ignite the enemy."
"Tip_7_19"				"As a Pyro, use %attack2% to reflect projectiles back at the enemy team!  This includes rockets, grenades, Jarate, and more!"
"Tip_7_20"				"As a Pyro, remember, the flame thrower's compression blast %attack2% can use up a lot of ammo.  Use it when you need to!"
"Tip_7_21"				"As a Pyro, utilize the flame thrower's compression blast %attack2% to push sticky bombs out of the way.  Help out your Engineers or clear a Control Point!"

"Tip_8_Count"				"30"
"Tip_8_1"				"As a Spy, use your knife to backstab enemies from behind, killing them instantly."
"Tip_8_2"				"As a Spy, disguise yourself as an enemy with your disguise kit. Beware, attacking will remove your disguise."
"Tip_8_3"				"As a Spy, hit %attack2% to cloak and become fully invisible for a short period of time."
"Tip_8_4"				"As a Spy, use your cloak to get behind enemy lines, and your disguise to move around amongst them."
"Tip_8_5"				"As a Spy, try to act like an enemy while disguised. Observe where enemy team members are, and disguise as one of them."
"Tip_8_6"				"As a Spy, place your electro sappers on enemy sentry guns to destroy them. Disguises aren't lost when placing sappers."
"Tip_8_7"				"As a Spy, your electro sappers disable sentry guns before destroying them. Sap a sentry gun before attacking the Engineer."
"Tip_8_8"				"As a Spy, call for enemy Medics by hitting %voicemenu 0 0% while disguised."
"Tip_8_9"				"As a Spy, be careful when using voice commands while disguised. The enemy team will see them said in the text chat by whoever you're disguised as."
"Tip_8_10"				"As a Spy, the Ambassador does not do critical headshots when cooling down. Make each shot precise and timed to maximize damage."
"Tip_8_11"				"As a Spy, try not to be hit by flames when arming the Dead Ringer, or else the flames may hit you again and reveal your location."
"Tip_8_12"				"As a Spy while cloaked with the Dead Ringer, your silhouette won't appear when colliding with enemies."
"Tip_8_13"				"As a Spy, the Cloak and Dagger can regenerate cloak while moving around so long as you are uncloaked when doing so."
"Tip_8_14"				"As a Spy, pick up ammo and fallen weapons to recharge cloak when using your invis watch or the Dead Ringer."
"Tip_8_15"				"As a Spy, the Cloak and Dagger will only drain if you are moving. Stand still or uncloak to regain lost charge."
"Tip_8_16"				"As a Spy, your silhouette can be seen if you move around while cloaked with the Cloak and Dagger for too long. Find a safe spot to sit and recharge."
"Tip_8_17"				"As a Spy, the Dead Ringer makes a very loud noise when uncloaking. Find a safe place away from enemies to uncloak."
"Tip_8_18"				"As a Spy, disguise as your own team by hitting the %disguiseteam% key. Use this in friendly areas or with the Dead Ringer to hide your presence from the enemy."
"Tip_8_19"				"As a Spy, hit %lastdisguise% while already disguised to change what weapon your disguise is holding."
"Tip_8_20"				"As a Spy, hit %lastdisguise% to automatically disguise as the last disguise you previously had."
"Tip_8_21"				"As a Spy, you can take enemy teleporters while disguised.  Surprise!"
"Tip_8_22"				"As a Spy, bumping into enemies while cloaked makes you slightly visible to everyone."
"Tip_8_23"				"As a Spy, if you're set on fire while cloaked, the enemy can see you and you cannot recloak!"
"Tip_8_24"				"As a Spy, use your revolver to pick off targets that are low on health, or to deal with classes that are dangerous to get near, such as Pyros."
"Tip_8_25"				"As a Spy, if you are quick, you can stab an Engineer and then sap his gun before it turns around and shoots you."
"Tip_8_26"				"As a Spy, The Dead Ringer makes you take significantly less damage from all attacks while you are invisible."
"Tip_8_27"				"As a Spy, avoid taking fall damage; it will give away your location!"
"Tip_8_28"				"As a Spy, your sappers sap both ends of a teleporter. Try sapping the end the Engineer isn't at."
"Tip_8_29"				"As a Spy, your Dead Ringer can fake a death. Try to use it when you're weak, or else it will be wasted or too obvious."
"Tip_8_30"				"As a Spy, reloading your revolver will mimic the reload action of your current disguise."

"Tip_9_Count"				"17"
"Tip_9_1"				"As an Engineer, use the build tool to place sentry guns, dispensers, and teleporters."
"Tip_9_2"				"As an Engineer, you need metal to build, repair, and upgrade your buildings. Collect fallen weapons to get more metal."
"Tip_9_3"				"As an Engineer, hit your sentry gun with your wrench to upgrade it with metal. Each level adds more health and firepower."
"Tip_9_4"				"As an Engineer, build dispensers to provide your teammates with health and ammo. They also generate metal for you to use."
"Tip_9_5"				"As an Engineer, build teleporters to help your team reach the front line faster."
"Tip_9_6"				"As an Engineer, keep an eye out for enemy Spies attaching sappers to your buildings. Use your wrench to remove sappers."
"Tip_9_7"				"As an Engineer, help your fellow Engineers!  Your wrench can upgrade or repair their buildings."
"Tip_9_8"				"As an Engineer, hit your buildings with your wrench while they are constructing to make them build faster."
"Tip_9_9"				"As an Engineer, it can be useful to move your buildings forward with your team."
"Tip_9_10"				"As an Engineer, remember to upgrade your buildings.  Level 3 teleporters recharge much faster allowing your team to keep the pressure on."
"Tip_9_11"				"As an Engineer, hit either the entrance or the exit of your teleporter with your wrench to repair and upgrade both sides."
"Tip_9_12"				"As an Engineer, hit %attack2% to rotate building blueprints before you hit %attack% to build. Use this to face teleporters away from walls."
"Tip_9_13"				"As an Engineer, you can do more than just maintain your buildings. Use your shotgun and your pistol to assist in fights and to defend."
"Tip_9_14"				"As an Engineer, sentry guns aren't restricted to just defensive measures. Deploy them quickly in hidden locations to aid in an offensive push."
"Tip_9_15"				"As an Engineer, remember that disguised Spies can take your teleporter. Try not to stand on top of your teleporter exit."
"Tip_9_16"				"As an Engineer, check for Spies with your weapons if someone suspicious approaches."
"Tip_9_17"				"As an Engineer, use your shotgun and pistol to destroy enemy sticky bombs placed near your buildings."

"Tip_HLTV"				"You are watching SourceTV."

"Tip_arena_Count"			"7"
"Tip_arena_1"				"Keep an eye on the player count at the top of the screen to tell when your team has an advantage."
"Tip_arena_2"				"With no healthkits in the level, Medics are very valuable in Arena, protect them at all costs."
"Tip_arena_3"				"The capture point in the middle of the map will be active after 60 seconds."
"Tip_arena_4"				"You don’t respawn in Arena, so don’t die!"
"Tip_arena_5"				"No single class is most important in Arena, focus on countering the other team's entire composition."
"Tip_arena_6"				"You can change your class at the start of an Arena match before the gates open."
"Tip_arena_7"				"As an Engineer, make sure you’re building dispensers to heal your teammates."


"TF_ClassRecord_MostPoints"		"Most points:"
"TF_ClassRecord_MostKills"		"Most kills:"
"TF_ClassRecord_MostAssists"		"Most assists:"
"TF_ClassRecord_MostCaptures"		"Most captures:"
"TF_ClassRecord_MostDefenses"		"Most defenses:"
"TF_ClassRecord_MostDamage"		"Most damage:"
"TF_ClassRecord_MostDestruction"	"Most destruction:"
"TF_ClassRecord_MostDominations"	"Most dominations:"
"TF_ClassRecord_LongestLife"		"Longest life:"
"TF_ClassRecord_MostHealing"		"Most healing:"
"TF_ClassRecord_MostInvulns"		"Most invulns:"
"TF_ClassRecord_MostSentryKills"	"Most kills by sentry:"
"TF_ClassRecord_MostTeleports"		"Most teleports:"
"TF_ClassRecord_MostHeadshots"		"Most headshots:"
"TF_ClassRecord_MostBackstabs"		"Most backstabs:"

"TF_ClassRecord_Alt_MostPoints"			"point(s)"
"TF_ClassRecord_Alt_MostKills"			"kill(s)"
"TF_ClassRecord_Alt_MostAssists"		"assist(s)"
"TF_ClassRecord_Alt_MostCaptures"		"capture(s)"
"TF_ClassRecord_Alt_MostDefenses"		"defense(s)"
"TF_ClassRecord_Alt_MostDamage"			"damage"
"TF_ClassRecord_Alt_MostDestruction"	"building(s) destroyed"
"TF_ClassRecord_Alt_MostDominations"	"domination(s)"
"TF_ClassRecord_Alt_LongestLife"		"life time"
"TF_ClassRecord_Alt_MostHealing"		"healing"
"TF_ClassRecord_Alt_MostInvulns"		"uber charge(s)"
"TF_ClassRecord_Alt_MostSentryKills"	"kill(s) by sentry"
"TF_ClassRecord_Alt_MostTeleports"		"teleport use(s)"
"TF_ClassRecord_Alt_MostHeadshots"		"headshot(s)"
"TF_ClassRecord_Alt_MostBackstabs"		"backstab(s)"

"TF_Name_change_limit_exceeded"	"Name change denied (rate exceeded)."

"Building_hud_building"				"Building..."
"Building_hud_sentry_shells"		"Shells:"
